#userId,userPwd,userName,基础套餐,0,0.00,0
1,123456,张三,2,3,2484.00,3
2,123456,李四,10,2,1416.00,2
3,123456,王五,3,5,7740.00,4
4,123456,赵六,3,8,3744.00,3
5,123456,孙七,3,1,1188.00,2
6,123456,周八,7,2,3576.00,3
7,123456,吴九,8,4,8112.00,4
8,123456,郑十,10,1,948.00,2
9,123456,钱十一,12,2,2856.00,3
10,123456,冯十二,13,1,1308.00,2
11,123456,陈十三,1,5,2340.00,3
12,123456,褚十四,9,1,870.00,1
13,123456,卫十五,15,1,534.00,2
14,123456,蒋十六,2,4,3312.00,3
15,123456,沈十七,5,3,2124.00,2
16,123456,韩十八,7,1,1788.00,3
17,123456,杨十九,8,2,4056.00,4
18,123456,朱二十,3,2,2376.00,2
19,123456,秦二一,11,6,2088.00,2
20,123456,尤二二,12,1,1428.00,2
21,123456,大聪明,4,0,1.00,1
22,123456,陈小米,9,0,0.00,1
23,123456,乔舟,0,0,0.00,1
24,123456,科比,0,0,0.00,1
25,123456,刘小楠,0,0,0.00,1
26,123456,徐小楠,0,0,0.00,1
